ProductID,Product Name,Meta Cluster Category,Individual Rating,Avg_Rating,Rating_Count,Original Categories
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
AVqVGZO3nnc1JgDc3jGK,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",Ebook Readers (Primary),5.0,4.75,16,[]
AVpe9CMS1cnluZ0-aoC5,"Amazon Kindle Lighted Leather Cover,,,
Amazon Kindle Lighted Leather Cover,,,",Other Electronics (Streaming),4.0,4.473684210526316,38,[]
AVpe9CMS1cnluZ0-aoC5,"Amazon Kindle Lighted Leather Cover,,,
Kindle Keyboard,,,",Other Electronics (Streaming),4.0,4.473684210526316,38,[]
AVpe9CMS1cnluZ0-aoC5,"Kindle Keyboard,,,
Kindle Keyboard,,,",Other Electronics (Streaming),4.0,4.473684210526316,38,[]
AVqkIiKWnnc1JgDc3khH,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
AVqkIiKWnnc1JgDc3khH,"Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers,",Ebook Readers (Secondary),4.0,4.555555555555555,36,[]
AVqkIj9snnc1JgDc3khU,"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",Accessories (Covers/Power),5.0,4.5,10,[]
AVsRjfwAU2_QcyX9PHqe,"All-New Kindle E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",Ebook Readers (Primary),4.0,4.75,16,[]
AVsRjfwAU2_QcyX9PHqe,"Amazon Kindle Fire Hd (3rd Generation) 8gb,,,
Amazon Kindle Fire Hd (3rd Generation) 8gb,,,",Other Electronics (Streaming),4.0,4.473684210526316,38,[]
AVqVGZNvQMlgsOJE6eUY,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
AVphgVaX1cnluZ0-DR74,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",Ebook Readers (Primary),3.0,4.75,16,[]
AVphgVaX1cnluZ0-DR74,"Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,,,
Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,,,",Other Electronics (Streaming),5.0,4.473684210526316,38,[]
AVphgVaX1cnluZ0-DR74,"Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,,,
Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"",",Ebook Readers (Secondary),3.0,4.555555555555555,36,[]
AVphgVaX1cnluZ0-DR74,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
AVphgVaX1cnluZ0-DR74,"Amazon Standing Protective Case for Fire HD 6 (4th Generation) - Black,,,
Amazon Standing Protective Case for Fire HD 6 (4th Generation) - Black,,,",Other Electronics (Streaming),4.0,4.473684210526316,38,[]
AVphgVaX1cnluZ0-DR74,"Certified Refurbished Amazon Fire TV (Previous Generation - 1st),,,
Certified Refurbished Amazon Fire TV (Previous Generation - 1st),,,",Kids/Entry-Level Tablets,5.0,4.545454545454546,11,[]
AVphgVaX1cnluZ0-DR74,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
AVpjEN4jLJeJML43rpUe,"Amazon Kindle Touch Leather Case (4th Generation - 2011 Release), Olive Green,,,
Amazon Kindle Touch Leather Case (4th Generation - 2011 Release), Olive Green,,,",Other Electronics (Streaming),5.0,4.473684210526316,38,[]
AVpjEN4jLJeJML43rpUe,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
AVqVGWLKnnc1JgDc3jF1,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Other Electronics (Streaming),3.0,4.473684210526316,38,[]
AV1YnRtnglJLPUi8IJmV,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",Ebook Readers (Primary),5.0,4.75,16,[]
AVphPmHuilAPnD_x3E5h,"Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st),,,
Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st),,,",Kids/Entry-Level Tablets,5.0,4.545454545454546,11,[]
AVphPmHuilAPnD_x3E5h,"Certified Refurbished Amazon Fire TV Stick (Previous Generation - 1st),,,
Kindle Paperwhite,,,",Kids/Entry-Level Tablets,5.0,4.545454545454546,11,[]
AVphPmHuilAPnD_x3E5h,"Kindle Paperwhite,,,
Kindle Paperwhite,,,",Other Electronics (Streaming),5.0,4.473684210526316,38,[]
AVphPmHuilAPnD_x3E5h,"Amazon Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case - Blue",Ebook Readers (Secondary),4.0,4.555555555555555,36,[]
AVphPmHuilAPnD_x3E5h,"Kindle Paperwhite E-reader - White, 6 High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers,,",Ebook Readers (Primary),5.0,4.75,16,[]
AVphPmHuilAPnD_x3E5h,"Amazon Echo and Fire TV Power Adapter,,,
Amazon Echo and Fire TV Power Adapter,,,",Kids/Entry-Level Tablets,4.0,4.545454545454546,11,[]
AVphPmHuilAPnD_x3E5h,"Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,
Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",Other Electronics (Streaming),5.0,4.473684210526316,38,[]
AVphPmHuilAPnD_x3E5h,"Certified Refurbished Amazon Fire TV with Alexa Voice Remote,,,
Certified Refurbished Amazon Fire TV with Alexa Voice Remote,,,",Kids/Entry-Level Tablets,5.0,4.545454545454546,11,[]
AVphPmHuilAPnD_x3E5h,"Amazon - Fire 16GB (5th Gen, 2015 Release) - Black,,,
Amazon - Fire 16GB (5th Gen, 2015 Release) - Black,,,",Power & Batteries,4.0,4.714285714285714,14,[]
AVphPmHuilAPnD_x3E5h,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
AVqVGWQDv8e3D1O-ldFr,"Echo (White),,,
Echo (White),,,",Power & Batteries,5.0,4.714285714285714,14,[]
AVpfl8cLLJeJML43AE3S,"Echo (White),,,
Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Tangerine""",Ebook Readers (Secondary),4.0,4.555555555555555,36,[]
AVpfl8cLLJeJML43AE3S,"Echo (Black),,,
Echo (Black),,,",Power & Batteries,5.0,4.714285714285714,14,[]
AVpfl8cLLJeJML43AE3S,"Echo (Black),,,
Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",Accessories (Covers/Power),5.0,4.5,10,[]
AVpfl8cLLJeJML43AE3S,"Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",Accessories (Covers/Power),5.0,4.5,10,[]
AVpfl8cLLJeJML43AE3S,"Amazon Fire Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,
Amazon Fire Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,",Other Electronics (Streaming),4.0,4.473684210526316,38,[]
AVpfl8cLLJeJML43AE3S,"Amazon Fire Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",Accessories (Covers/Power),5.0,4.5,10,[]
AVpfl8cLLJeJML43AE3S,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Ebook Readers (Secondary),5.0,4.555555555555555,36,[]
